Problem Size, Plan Length, Nodes Expanded, Total Time
20, 98, 759, 0.0362082
20, 140, 569, 0.0314628
20, 134, 806, 0.0333492
20, 84, 299, 0.0225485
20, 212, 1869, 0.0556268
20, 76, 502, 0.0321143
20, 58, 132, 0.0188387
20, 78, 349, 0.0240702
20, 92, 312, 0.0210176
20, 66, 136, 0.0252872
21, 84, 268, 0.0243654
21, 106, 341, 0.0254511
21, 70, 752, 0.0388072
21, 148, 954, 0.0378755
21, 86, 473, 0.0314028
21, 208, 4148, 0.126378
21, 118, 451, 0.0279628
21, 62, 638, 0.0352148
21, 112, 304, 0.0247957
21, 90, 513, 0.0323546
22, 80, 277, 0.0256756
22, 160, 779, 0.0408638
22, 140, 1343, 0.0580353
22, 74, 779, 0.056354
22, 96, 249, 0.0292346
22, 130, 466, 0.0357372
22, 100, 313, 0.028523
22, 88, 431, 0.0328562
22, 102, 325, 0.0276801
22, 186, 1102, 0.0452492
23, 56, 209, 0.0279209
23, 154, 910, 0.0495383
23, 176, 2937, 0.108363
23, 74, 808, 0.0462295
23, 140, 639, 0.0484658
23, 144, 627, 0.0367948
23, 90, 331, 0.0345903
23, 152, 932, 0.0466387
23, 122, 376, 0.0293655
23, 126, 438, 0.0328259
24, 86, 280, 0.0365431
24, 150, 646, 0.0410047
24, 106, 656, 0.0484665
24, 88, 697, 0.0495972
24, 114, 576, 0.0499808
24, 120, 482, 0.0411214
24, 152, 1099, 0.0539287
24, 78, 603, 0.0470731
24, 192, 1040, 0.055194
24, 60, 154, 0.0282311
25, 74, 500, 0.045845
25, 156, 821, 0.0538199
25, 98, 606, 0.0530453
25, 302, 6113, 0.217436
25, 160, 812, 0.052987
25, 88, 226, 0.0383907
25, 82, 710, 0.0502884
25, 94, 260, 0.035525
25, 126, 905, 0.0615437
25, 82, 264, 0.0320177
26, 70, 393, 0.0483399
26, 140, 719, 0.0499571
26, 200, 1024, 0.0645293
26, 112, 1091, 0.0722816
26, 102, 256, 0.037669
26, 124, 820, 0.0618776
26, 162, 924, 0.05511
26, 118, 432, 0.0450181
26, 110, 447, 0.0453025
26, 98, 371, 0.0417994
27, 172, 713, 0.0548337
27, 158, 676, 0.056983
27, 210, 1107, 0.0745871
27, 102, 651, 0.0605088
27, 98, 1053, 0.0766117
27, 100, 498, 0.0574838
27, 154, 1110, 0.0739345
27, 140, 537, 0.0507161
27, 90, 350, 0.0496876
27, 118, 419, 0.0552707
28, 180, 1111, 0.0833821
28, 202, 1772, 0.119582
28, 206, 1281, 0.0898148
28, 140, 537, 0.0566192
28, 160, 902, 0.0750043
28, 124, 444, 0.0537671
28, 116, 656, 0.0648339
28, 120, 450, 0.0511823
28, 72, 215, 0.039909
28, 144, 935, 0.0788859
29, 194, 998, 0.0808485
29, 144, 742, 0.0673906
29, 98, 1157, 0.0945669
29, 288, 4090, 0.218792
29, 120, 763, 0.0735505
29, 168, 929, 0.0731371
29, 168, 749, 0.0701793
29, 220, 1992, 0.116499
29, 118, 348, 0.0711634
29, 94, 399, 0.0606525
