Problem Size, Plan Length, Nodes Expanded, Total Time
20, 74, 256, 0.0226377
20, 86, 356, 0.0235283
20, 176, 1142, 0.0403284
20, 82, 455, 0.0277964
20, 98, 333, 0.0218689
20, 66, 473, 0.0255096
20, 68, 751, 0.0332831
20, 70, 283, 0.0223918
20, 72, 536, 0.0270151
20, 174, 1496, 0.0587118
20, 130, 686, 0.030242
20, 84, 384, 0.0246201
20, 70, 333, 0.0222109
20, 60, 374, 0.0246948
20, 146, 564, 0.0263976
20, 88, 481, 0.027946
20, 104, 405, 0.0238501
20, 158, 1003, 0.0367034
20, 92, 258, 0.0205922
20, 82, 246, 0.0193514
20, 92, 281, 0.0205661
20, 88, 239, 0.0194081
20, 76, 494, 0.0288533
20, 66, 507, 0.0284642
20, 72, 323, 0.0230874
20, 68, 278, 0.0223378
20, 50, 159, 0.0193387
20, 88, 326, 0.0244245
20, 72, 610, 0.0279646
20, 130, 487, 0.0238604
20, 74, 506, 0.0268682
20, 92, 640, 0.0313536
20, 108, 368, 0.0211638
20, 84, 546, 0.02958
20, 110, 415, 0.0224983
20, 84, 221, 0.0238266
20, 64, 535, 0.0319819
20, 86, 271, 0.0215223
20, 132, 465, 0.0255911
20, 70, 648, 0.0322776
20, 72, 200, 0.0172945
20, 70, 170, 0.0173355
20, 64, 268, 0.0216841
20, 166, 1944, 0.058984
20, 72, 359, 0.0232848
20, 60, 383, 0.0252176
20, 92, 545, 0.028301
20, 54, 243, 0.0207963
20, 110, 322, 0.02084
20, 178, 1211, 0.0632821
20, 72, 708, 0.0360315
20, 96, 502, 0.0276342
20, 70, 190, 0.0195318
20, 54, 265, 0.0209419
20, 90, 916, 0.0349573
20, 72, 278, 0.0250071
20, 78, 355, 0.0237058
20, 64, 209, 0.0208887
20, 50, 139, 0.0160686
20, 60, 648, 0.0293585
20, 94, 343, 0.022456
20, 112, 314, 0.0219593
20, 64, 308, 0.0213279
20, 64, 442, 0.0259112
20, 72, 287, 0.0207267
20, 56, 195, 0.0195295
20, 142, 812, 0.0337177
20, 106, 506, 0.0268717
20, 80, 316, 0.0247878
20, 114, 462, 0.0257445
20, 72, 281, 0.0243055
20, 68, 623, 0.0288327
20, 118, 323, 0.0211157
20, 60, 360, 0.0246773
20, 58, 348, 0.0238041
20, 80, 195, 0.0185798
20, 190, 2458, 0.0725932
20, 98, 251, 0.0206876
20, 138, 1494, 0.0550012
20, 84, 373, 0.0241626
20, 74, 260, 0.0212181
20, 58, 170, 0.0173794
20, 64, 391, 0.0239508
20, 68, 209, 0.0203185
20, 62, 194, 0.0204708
20, 66, 196, 0.0227891
20, 96, 401, 0.024743
20, 88, 348, 0.0235279
20, 100, 340, 0.0223439
20, 96, 324, 0.0222709
20, 84, 403, 0.0252209
20, 72, 171, 0.017128
20, 88, 410, 0.0269191
20, 122, 503, 0.024777
20, 176, 1704, 0.0526594
20, 98, 641, 0.0298986
20, 114, 510, 0.0249323
20, 90, 531, 0.0279738
20, 100, 733, 0.033746
20, 118, 1275, 0.0439265
21, 88, 505, 0.0296539
21, 72, 313, 0.0255263
21, 116, 449, 0.0282412
21, 132, 1081, 0.0430988
21, 118, 1030, 0.044105
21, 66, 693, 0.0343057
21, 72, 360, 0.0276529
21, 66, 197, 0.0217374
21, 168, 1991, 0.0685832
21, 78, 495, 0.0280704
21, 114, 895, 0.0380426
21, 140, 493, 0.0279704
21, 90, 554, 0.0319836
21, 80, 673, 0.034431
21, 88, 267, 0.0205081
21, 82, 728, 0.0370638
21, 108, 699, 0.0357981
21, 86, 1673, 0.0581469
21, 70, 571, 0.032384
21, 112, 355, 0.0255564
21, 60, 470, 0.0371537
21, 80, 404, 0.0248954
21, 126, 597, 0.030461
21, 88, 601, 0.0332027
21, 60, 390, 0.0266376
21, 98, 405, 0.0261642
21, 224, 4534, 0.121726
21, 156, 909, 0.0368659
21, 116, 360, 0.0267803
21, 128, 561, 0.0292115
21, 134, 678, 0.0339166
21, 78, 555, 0.0314823
21, 98, 731, 0.0334076
21, 82, 657, 0.0329471
21, 70, 322, 0.0265032
21, 158, 724, 0.0334792
21, 106, 530, 0.0308419
21, 88, 562, 0.0308432
21, 72, 328, 0.0269453
21, 82, 434, 0.0288239
21, 150, 676, 0.0303009
21, 88, 998, 0.0418857
21, 104, 573, 0.0312599
21, 104, 657, 0.031982
21, 74, 341, 0.0280573
21, 112, 458, 0.0261628
21, 62, 524, 0.0302452
21, 76, 406, 0.0282907
21, 64, 292, 0.0242963
21, 66, 525, 0.0373413
21, 142, 573, 0.0287276
21, 80, 201, 0.0243421
21, 128, 474, 0.025064
21, 220, 1103, 0.0423874
21, 78, 552, 0.032739
21, 146, 981, 0.0414269
21, 84, 324, 0.0259545
21, 158, 800, 0.0352886
21, 106, 409, 0.0258619
21, 64, 664, 0.0341478
21, 136, 518, 0.0268346
21, 92, 619, 0.0351044
21, 68, 136, 0.0209798
21, 108, 507, 0.0293142
21, 166, 2201, 0.0685545
21, 94, 371, 0.0260016
21, 82, 375, 0.030259
21, 60, 177, 0.023494
21, 68, 333, 0.0246689
21, 66, 177, 0.0221066
21, 62, 287, 0.0241612
21, 82, 631, 0.0339076
21, 166, 1329, 0.0494093
21, 76, 349, 0.022777
21, 86, 412, 0.026513
21, 92, 676, 0.0345487
21, 62, 533, 0.030914
21, 102, 369, 0.0246361
21, 68, 156, 0.0183251
21, 74, 347, 0.0239576
21, 96, 597, 0.0326734
21, 102, 360, 0.0233449
21, 90, 444, 0.0276748
21, 108, 689, 0.0339892
21, 100, 643, 0.0345751
21, 102, 584, 0.0340025
21, 84, 239, 0.0215777
21, 128, 497, 0.0279895
21, 100, 817, 0.0370614
21, 66, 399, 0.0274802
21, 104, 656, 0.0348189
21, 126, 571, 0.0320837
21, 66, 524, 0.0293207
21, 110, 363, 0.025825
21, 88, 595, 0.0389659
21, 70, 685, 0.0359471
21, 116, 476, 0.0281596
21, 72, 674, 0.0333514
21, 166, 803, 0.0365487
21, 54, 436, 0.0272691
22, 156, 1448, 0.0556627
22, 70, 367, 0.0349808
