Problem Size, Plan Length, Total Time
20, 52, 104, 0.0034089088439941406
20, 56, 112, 0.007544517517089844
20, 48, 96, 0.002504587173461914
20, 42, 84, 0.002462625503540039
20, 56, 112, 0.0038497447967529297
20, 52, 104, 0.0028333663940429688
20, 40, 80, 0.002269268035888672
20, 68, 136, 0.003863811492919922
20, 52, 104, 0.0027151107788085938
20, 56, 112, 0.0031223297119140625
20, 58, 116, 0.0033288002014160156
20, 60, 120, 0.0032486915588378906
20, 58, 116, 0.003223419189453125
20, 50, 100, 0.002686738967895508
20, 40, 80, 0.0021126270294189453
20, 62, 124, 0.003375530242919922
20, 62, 124, 0.0034873485565185547
20, 66, 132, 0.005724906921386719
20, 60, 120, 0.0032181739807128906
20, 56, 112, 0.0030422210693359375
20, 56, 112, 0.003358602523803711
20, 50, 100, 0.002779245376586914
20, 54, 108, 0.0030465126037597656
20, 48, 96, 0.0024852752685546875
20, 60, 120, 0.003459453582763672
20, 50, 100, 0.00264739990234375
20, 52, 104, 0.002775907516479492
20, 46, 92, 0.0024650096893310547
20, 58, 116, 0.009225130081176758
20, 56, 112, 0.003242969512939453
20, 54, 108, 0.0031969547271728516
20, 58, 116, 0.0031511783599853516
20, 60, 120, 0.003193378448486328
20, 60, 120, 0.0033621788024902344
20, 56, 112, 0.0031599998474121094
20, 52, 104, 0.002766847610473633
20, 56, 112, 0.003048419952392578
20, 60, 120, 0.003458738327026367
20, 46, 92, 0.006793498992919922
20, 64, 128, 0.0036919116973876953
20, 64, 128, 0.0035948753356933594
20, 48, 96, 0.0026297569274902344
20, 44, 88, 0.0022699832916259766
20, 46, 92, 0.0025780200958251953
20, 70, 140, 0.004055023193359375
20, 58, 116, 0.003200054168701172
20, 48, 96, 0.002567291259765625
20, 62, 124, 0.0033485889434814453
20, 42, 84, 0.0022115707397460938
20, 52, 104, 0.006296873092651367
20, 58, 116, 0.003180980682373047
20, 62, 124, 0.003450155258178711
20, 34, 68, 0.001959562301635742
20, 50, 100, 0.002773284912109375
20, 50, 100, 0.002583742141723633
20, 54, 108, 0.0029230117797851562
20, 62, 124, 0.0035376548767089844
20, 56, 112, 0.0028336048126220703
20, 56, 112, 0.0030384063720703125
20, 46, 92, 0.002456188201904297
20, 50, 100, 0.004409313201904297
20, 48, 96, 0.003432750701904297
20, 54, 108, 0.005085945129394531
20, 52, 104, 0.0039708614349365234
20, 34, 68, 0.0017673969268798828
20, 46, 92, 0.002334117889404297
20, 50, 100, 0.00252532958984375
20, 58, 116, 0.003168344497680664
20, 66, 132, 0.003985166549682617
20, 56, 112, 0.0032317638397216797
20, 56, 112, 0.004100322723388672
20, 56, 112, 0.002835512161254883
20, 56, 112, 0.002875089645385742
20, 50, 100, 0.0045049190521240234
20, 48, 96, 0.0044825077056884766
20, 56, 112, 0.003815174102783203
20, 56, 112, 0.003075838088989258
20, 74, 148, 0.004552364349365234
20, 64, 128, 0.0033767223358154297
20, 56, 112, 0.012154817581176758
20, 56, 112, 0.0029485225677490234
20, 48, 96, 0.004323244094848633
20, 54, 108, 0.0051043033599853516
20, 56, 112, 0.0034029483795166016
20, 58, 116, 0.0033292770385742188
20, 52, 104, 0.0031414031982421875
20, 54, 108, 0.002798795700073242
20, 62, 124, 0.0032601356506347656
20, 60, 120, 0.004737377166748047
20, 68, 136, 0.0036325454711914062
20, 56, 112, 0.0028886795043945312
20, 52, 104, 0.0033822059631347656
20, 50, 100, 0.003297090530395508
20, 58, 116, 0.0035393238067626953
20, 62, 124, 0.0033202171325683594
20, 66, 132, 0.0034818649291992188
20, 66, 132, 0.0034742355346679688
20, 50, 100, 0.004897117614746094
20, 54, 108, 0.002862691879272461
20, 64, 128, 0.0033349990844726562
21, 50, 100, 0.0026197433471679688
21, 44, 88, 0.0022890567779541016
21, 60, 120, 0.003343343734741211
21, 66, 132, 0.0060689449310302734
21, 64, 128, 0.006177663803100586
21, 62, 124, 0.004367828369140625
21, 56, 112, 0.003607034683227539
21, 56, 112, 0.0029625892639160156
21, 52, 104, 0.002742767333984375
21, 68, 136, 0.0037331581115722656
21, 44, 88, 0.0023157596588134766
21, 60, 120, 0.0031995773315429688
21, 60, 120, 0.0032024383544921875
21, 66, 132, 0.0039539337158203125
21, 46, 92, 0.0025625228881835938
21, 52, 104, 0.004473686218261719
21, 64, 128, 0.003480195999145508
21, 60, 120, 0.0033714771270751953
21, 62, 124, 0.0037343502044677734
21, 64, 128, 0.0034742355346679688
21, 58, 116, 0.003123760223388672
21, 58, 116, 0.003248453140258789
21, 44, 88, 0.002381563186645508
21, 38, 76, 0.0021486282348632812
21, 36, 72, 0.0020465850830078125
21, 58, 116, 0.005400419235229492
21, 66, 132, 0.0037140846252441406
21, 72, 144, 0.004217386245727539
21, 60, 120, 0.0033736228942871094
21, 68, 136, 0.004734516143798828
21, 62, 124, 0.003529787063598633
21, 62, 124, 0.0034646987915039062
21, 60, 120, 0.0032138824462890625
21, 56, 112, 0.003122568130493164
21, 48, 96, 0.006338357925415039
21, 60, 120, 0.003884553909301758
21, 62, 124, 0.003482341766357422
21, 56, 112, 0.0030367374420166016
21, 56, 112, 0.0029430389404296875
21, 60, 120, 0.00324249267578125
21, 60, 120, 0.0040416717529296875
21, 62, 124, 0.0033805370330810547
21, 60, 120, 0.003163576126098633
21, 70, 140, 0.003757476806640625
21, 60, 120, 0.011000633239746094
21, 62, 124, 0.00362396240234375
21, 58, 116, 0.0033621788024902344
21, 58, 116, 0.0032091140747070312
21, 58, 116, 0.0033283233642578125
21, 60, 120, 0.0034637451171875
21, 64, 128, 0.004439353942871094
21, 36, 72, 0.003481149673461914
21, 62, 124, 0.0060160160064697266
21, 52, 104, 0.003455638885498047
21, 68, 136, 0.004552602767944336
21, 64, 128, 0.00438690185546875
21, 66, 132, 0.004586935043334961
21, 54, 108, 0.003509521484375
21, 60, 120, 0.0038046836853027344
21, 58, 116, 0.0031130313873291016
21, 62, 124, 0.005859851837158203
21, 66, 132, 0.0035676956176757812
21, 52, 104, 0.002882242202758789
21, 40, 80, 0.0025131702423095703
21, 64, 128, 0.004436969757080078
21, 60, 120, 0.003951311111450195
21, 56, 112, 0.0037610530853271484
21, 56, 112, 0.003702402114868164
21, 56, 112, 0.004693269729614258
21, 52, 104, 0.005984067916870117
21, 46, 92, 0.0030252933502197266
21, 52, 104, 0.0034067630767822266
21, 62, 124, 0.004013538360595703
21, 68, 136, 0.003732919692993164
21, 50, 100, 0.002704143524169922
21, 62, 124, 0.003345012664794922
21, 62, 124, 0.0033462047576904297
21, 42, 84, 0.002793550491333008
21, 54, 108, 0.004824161529541016
21, 52, 104, 0.013622283935546875
21, 60, 120, 0.004090070724487305
21, 60, 120, 0.0039174556732177734
21, 56, 112, 0.0036792755126953125
21, 58, 116, 0.0036122798919677734
21, 58, 116, 0.0031936168670654297
21, 54, 108, 0.0029621124267578125
21, 62, 124, 0.0034265518188476562
21, 50, 100, 0.0026776790618896484
21, 66, 132, 0.005686521530151367
21, 50, 100, 0.004253387451171875
21, 54, 108, 0.004599809646606445
21, 66, 132, 0.0036971569061279297
21, 62, 124, 0.003576517105102539
21, 56, 112, 0.003345012664794922
21, 62, 124, 0.0035331249237060547
21, 68, 136, 0.003820657730102539
21, 66, 132, 0.0039825439453125
21, 58, 116, 0.006367683410644531
21, 46, 92, 0.002814054489135742
21, 60, 120, 0.003473997116088867
22, 64, 128, 0.003972768783569336
22, 58, 116, 0.0033736228942871094
22, 68, 136, 0.004100322723388672
22, 68, 136, 0.004053592681884766
22, 66, 132, 0.0037381649017333984
22, 64, 128, 0.005362987518310547
22, 66, 132, 0.0038449764251708984
22, 56, 112, 0.003139495849609375
22, 58, 116, 0.0031757354736328125
22, 48, 96, 0.0026319026947021484
22, 68, 136, 0.004805803298950195
22, 64, 128, 0.0037076473236083984
22, 60, 120, 0.003361940383911133
22, 42, 84, 0.0023577213287353516
22, 56, 112, 0.0030357837677001953
22, 70, 140, 0.005482912063598633
22, 68, 136, 0.003907918930053711
22, 66, 132, 0.0037479400634765625
22, 64, 128, 0.003551959991455078
22, 64, 128, 0.003539562225341797
22, 76, 152, 0.005017518997192383
22, 68, 136, 0.006811380386352539
22, 70, 140, 0.005507230758666992
22, 64, 128, 0.003551006317138672
22, 62, 124, 0.003480672836303711
22, 60, 120, 0.003346681594848633
22, 74, 148, 0.004173994064331055
22, 60, 120, 0.0034182071685791016
22, 74, 148, 0.004090785980224609
22, 60, 120, 0.003899097442626953
22, 46, 92, 0.004542112350463867
22, 66, 132, 0.012694835662841797
22, 58, 116, 0.0031919479370117188
22, 48, 96, 0.0026378631591796875
22, 52, 104, 0.0028362274169921875
22, 74, 148, 0.004103422164916992
