Problem Size, Plan Length, Nodes Expanded, Total Time
10, 10, 17, 0.00584135
10, 9, 13, 0.00622648
10, 13, 19, 0.00676591
10, 9, 12, 0.00679491
10, 9, 13, 0.00669988
10, 12, 16, 0.00697434
10, 15, 25, 0.00716949
10, 2, 4, 0.00209872
10, 12, 18, 0.00672573
10, 12, 18, 0.00600219
10, 8, 13, 0.00510889
10, 11, 15, 0.00673862
10, 8, 11, 0.00623954
10, 11, 17, 0.00645534
10, 11, 28, 0.00659975
10, 10, 15, 0.00583484
10, 9, 13, 0.00628566
10, 4, 8, 0.00470428
10, 12, 28, 0.00763786
10, 13, 21, 0.00657499
11, 11, 15, 0.00687421
11, 13, 23, 0.00700602
11, 12, 19, 0.00688093
11, 11, 17, 0.00713444
11, 11, 17, 0.00757199
11, 12, 31, 0.00787391
11, 10, 20, 0.00705055
11, 5, 10, 0.00513971
11, 6, 11, 0.00564283
11, 11, 14, 0.0073707
11, 7, 13, 0.00619264
11, 14, 21, 0.00706007
11, 10, 17, 0.00623929
11, 9, 13, 0.00672654
11, 7, 12, 0.00621942
11, 12, 17, 0.00598389
11, 7, 11, 0.00591799
11, 10, 16, 0.00720203
11, 6, 11, 0.00698548
11, 8, 11, 0.00626102
12, 12, 16, 0.00848332
12, 14, 23, 0.00823997
12, 10, 16, 0.00765374
12, 11, 15, 0.00700976
12, 11, 17, 0.00800837
12, 9, 12, 0.0060978
12, 9, 13, 0.00730719
12, 7, 12, 0.00673467
12, 15, 25, 0.00787989
12, 13, 40, 0.00909834
12, 10, 27, 0.00713727
12, 12, 16, 0.00779094
12, 11, 23, 0.0063746
12, 12, 17, 0.00736059
12, 9, 13, 0.00704514
12, 2, 4, 0.00221074
12, 11, 15, 0.00722208
12, 13, 17, 0.00805546
12, 11, 17, 0.00768979
12, 7, 10, 0.00736085
13, 9, 13, 0.00657142
13, 8, 21, 0.00771338
13, 9, 14, 0.00784712
13, 4, 6, 0.00329778
13, 10, 14, 0.00745395
13, 8, 12, 0.00710415
13, 8, 12, 0.00777665
13, 12, 27, 0.00840964
13, 14, 19, 0.00887082
13, 16, 27, 0.00857655
13, 14, 27, 0.00838698
13, 11, 15, 0.00828339
13, 12, 19, 0.0086356
13, 13, 24, 0.00958174
13, 8, 13, 0.00674254
13, 7, 12, 0.00795273
13, 12, 17, 0.00753723
13, 7, 13, 0.00658019
13, 8, 12, 0.0083267
13, 10, 16, 0.00786574
14, 11, 15, 0.00946982
14, 9, 13, 0.00708112
14, 6, 10, 0.00867158
14, 12, 15, 0.0100781
14, 3, 5, 0.00311178
14, 10, 13, 0.00892125
14, 9, 15, 0.00794192
14, 4, 8, 0.00731721
14, 9, 14, 0.00900644
14, 9, 11, 0.00862895
14, 10, 15, 0.00871288
14, 12, 19, 0.00838889
14, 12, 19, 0.00927023
14, 12, 19, 0.00942213
14, 12, 18, 0.00905848
14, 9, 21, 0.00865894
14, 10, 17, 0.00835473
14, 11, 15, 0.00901756
14, 6, 11, 0.00810791
14, 12, 23, 0.00960533
15, 11, 23, 0.00996887
15, 8, 12, 0.00683536
15, 8, 11, 0.00916808
15, 8, 12, 0.00862816
15, 13, 21, 0.00993436
15, 11, 15, 0.0107031
15, 13, 24, 0.0106284
15, 10, 17, 0.00981957
15, 15, 25, 0.010384
15, 9, 14, 0.00858362
15, 7, 11, 0.00839165
15, 13, 25, 0.0104305
15, 9, 13, 0.0101174
15, 6, 11, 0.00824723
15, 9, 13, 0.0101873
15, 8, 12, 0.00761833
15, 10, 13, 0.00920874
15, 12, 17, 0.00960404
15, 10, 15, 0.00933242
15, 10, 14, 0.00860256
16, 13, 24, 0.0115037
16, 7, 12, 0.00962518
16, 11, 15, 0.0110389
16, 12, 20, 0.00957672
16, 12, 32, 0.0119196
16, 10, 14, 0.0101101
16, 14, 40, 0.0111887
16, 9, 13, 0.0106775
16, 9, 13, 0.00954586
16, 10, 22, 0.00863857
16, 9, 14, 0.0100747
16, 12, 17, 0.0108876
16, 9, 15, 0.0133651
16, 7, 11, 0.00891552
16, 12, 18, 0.0110289
16, 9, 17, 0.00981576
16, 14, 18, 0.0114189
16, 13, 19, 0.0113211
16, 10, 14, 0.00989648
16, 5, 6, 0.00491217
17, 13, 19, 0.0116358
17, 9, 13, 0.0100491
17, 7, 12, 0.0107287
17, 10, 15, 0.0101012
17, 9, 16, 0.0111133
17, 10, 13, 0.0113668
17, 14, 22, 0.0119098
17, 7, 10, 0.00993459
17, 11, 15, 0.0107898
17, 14, 20, 0.0120596
17, 8, 18, 0.00970605
17, 9, 13, 0.0100233
17, 9, 15, 0.0117573
17, 9, 16, 0.0110552
17, 8, 12, 0.0105996
17, 11, 15, 0.0115792
17, 8, 12, 0.0107018
17, 9, 13, 0.0114145
17, 11, 17, 0.00940974
17, 12, 20, 0.0119699
18, 12, 34, 0.0140593
18, 8, 13, 0.0114869
18, 11, 19, 0.0118077
18, 9, 13, 0.0106022
18, 8, 11, 0.0119687
18, 11, 17, 0.0123087
18, 7, 12, 0.010429
18, 5, 10, 0.0101527
18, 10, 15, 0.0105532
18, 8, 11, 0.0118407
18, 10, 14, 0.0123485
18, 9, 17, 0.0117842
18, 13, 20, 0.011604
18, 9, 13, 0.0120841
18, 15, 23, 0.0132141
18, 11, 15, 0.0119625
18, 12, 15, 0.0121563
18, 4, 6, 0.00477558
18, 10, 18, 0.0125355
18, 7, 12, 0.00945168
19, 11, 15, 0.0144137
19, 11, 15, 0.0141735
19, 14, 20, 0.0140025
19, 13, 23, 0.0145708
19, 12, 19, 0.0142372
19, 10, 16, 0.0129233
19, 8, 12, 0.0117903
19, 3, 5, 0.00428095
19, 13, 19, 0.0143614
19, 8, 13, 0.0132047
19, 12, 16, 0.0140937
19, 9, 12, 0.0121194
19, 11, 15, 0.0140503
