Problem Size, Plan Length, Nodes Expanded, Total Time
10, 10, 17, 0.00
10, 11, 23, 0.00
10, 14, 31, 0.00
10, 12, 16, 0.00
10, 14, 27, 0.00
10, 15, 38, 0.01
10, 21, 86, 0.00
10, 2, 3, 0.00
10, 15, 30, 0.00
10, 15, 33, 0.00
10, 9, 16, 0.00
np.nan, np.nan, np.nan, np.nan
10, 10, 21, 0.00
10, 13, 28, 0.00
10, 13, 30, 0.00
10, 10, 18, 0.00
10, 13, 28, 0.00
10, 5, 7, 0.00
10, 13, 23, 0.00
10, 13, 30, 0.00
11, 15, 38, 0.01
11, 16, 40, 0.00
11, 12, 22, 0.00
11, 12, 15, 0.00
11, 15, 30, 0.00
11, 12, 117, 0.02
11, 15, 28, 0.01
11, 6, 8, 0.00
11, 7, 9, 0.00
11, 14, 30, 0.01
11, 7, 11, 0.00
11, 13, 26, 0.00
11, 11, 22, 0.00
11, 10, 12, 0.00
11, 8, 13, 0.00
11, 11, 23, 0.00
11, 8, 13, 0.00
11, 11, 25, 0.01
11, 9, 20, 0.00
11, 7, 12, 0.00
12, 13, 29, 0.00
12, 16, 55, 0.01
12, 10, 22, 0.01
np.nan, np.nan, np.nan, np.nan
12, 10, 18, 0.01
12, 9, 14, 0.00
12, 14, 31, 0.01
12, 8, 14, 0.00
12, 15, 25, 0.00
12, 12, 27, 0.00
12, 10, 18, 0.00
12, 14, 31, 0.01
12, 12, 24, 0.01
12, 12, 22, 0.00
12, 10, 17, 0.01
12, 2, 3, 0.00
12, 10, 23, 0.00
12, 16, 28, 0.01
12, 10, 21, 0.00
12, 11, 20, 0.00
13, 10, 20, 0.00
13, 10, 20, 0.01
13, 12, 28, 0.00
13, 4, 5, 0.00
13, 11, 20, 0.00
13, 9, 15, 0.01
13, 8, 14, 0.00
13, 13, 22, 0.00
13, 12, 29, 0.00
13, 18, 46, 0.00
13, 14, 18, 0.00
13, 13, 34, 0.00
13, 17, 62, 0.01
13, 14, 33, 0.01
13, 9, 15, 0.00
13, 8, 14, 0.00
13, 12, 21, 0.00
13, 7, 9, 0.00
13, 9, 15, 0.00
13, 9, 16, 0.00
14, 15, 39, 0.01
14, 11, 17, 0.01
14, 10, 17, 0.00
14, 14, 25, 0.01
14, 3, 4, 0.00
14, 14, 25, 0.00
14, 10, 14, 0.00
14, 5, 7, 0.00
14, 10, 19, 0.01
14, 10, 12, 0.00
14, 10, 17, 0.01
14, 12, 20, 0.01
14, 14, 33, 0.01
14, 13, 29, 0.01
14, 16, 46, 0.01
14, 10, 34, 0.01
14, 12, 17, 0.00
14, 13, 29, 0.01
14, 7, 9, 0.00
14, 13, 24, 0.00
15, 12, 21, 0.00
15, 9, 11, 0.00
15, 12, 22, 0.01
15, 8, 14, 0.01
15, 16, 67, 0.01
15, 12, 23, 0.01
15, 12, 28, 0.01
15, 11, 18, 0.01
15, 12, 27, 0.01
15, 8, 14, 0.01
15, 8, 13, 0.01
15, 13, 32, 0.00
15, 13, 24, 0.01
15, 7, 13, 0.01
15, 11, 19, 0.01
np.nan, np.nan, np.nan, np.nan
15, 14, 17, 0.01
15, 12, 30, 0.01
15, 13, 29, 0.01
np.nan, np.nan, np.nan, np.nan
16, 12, 23, 0.01
16, 11, 15, 0.01
16, 12, 31, 0.01
16, 15, 37, 0.01
16, 22, 17815, 9.30
16, 11, 20, 0.01
16, 14, 25, 0.01
16, 10, 21, 0.01
16, 9, 18, 0.01
16, 11, 20, 0.00
16, 9, 11, 0.01
16, 13, 29, 0.01
16, 10, 22, 0.00
16, 8, 13, 0.01
16, 14, 32, 0.01
16, 9, 15, 0.01
16, 16, 29, 0.01
16, 11, 26, 0.01
16, 12, 21, 0.01
16, 5, 6, 0.01
17, 12, 22, 0.01
17, 13, 20, 0.01
np.nan, np.nan, np.nan, np.nan
np.nan, np.nan, np.nan, np.nan
17, 11, 23, 0.01
17, 12, 16, 0.01
17, 12, 22, 0.01
17, 11, 24, 0.01
17, 11, 26, 0.01
17, 14, 30, 0.02
17, 7, 9, 0.01
17, 11, 17, 0.01
17, 12, 24, 0.01
17, 10, 13, 0.01
17, 8, 10, 0.00
17, 17, 36, 0.01
17, 9, 16, 0.01
17, 9, 15, 0.01
17, 11, 20, 0.01
17, 12, 26, 0.01
18, 14, 18, 0.01
18, 12, 15, 0.01
18, 11, 24, 0.01
18, 9, 17, 0.01
18, 11, 22, 0.01
18, 15, 47, 0.02
18, 8, 10, 0.01
18, 6, 8, 0.02
18, 10, 12, 0.02
18, 12, 22, 0.02
18, 11, 25, 0.01
18, 12, 21, 0.01
18, 12, 25, 0.01
18, 10, 12, 0.01
18, 12, 28, 0.02
18, 10, 18, 0.01
18, 14, 23, 0.01
18, 4, 5, 0.01
18, 11, 18, 0.01
18, 8, 13, 0.01
19, 13, 15, 0.01
19, 13, 29, 0.02
19, 15, 33, 0.02
19, 15, 28, 0.02
19, 15, 35, 0.02
19, 11, 14, 0.02
19, 9, 18, 0.01
19, 3, 4, 0.01
19, 15, 25, 0.01
19, 12, 22, 0.02
19, 13, 28, 0.02
19, 12, 22, 0.02
19, 13, 33, 0.02
19, 11, 24, 0.01
19, 10, 12, 0.01
19, 13, 30, 0.02
19, 15, 40, 0.02
19, 12, 25, 0.02
19, 11, 21, 0.02
19, 16, 36, 0.02
20, 11, 19, 0.02
20, 13, 26, 0.02
np.nan, np.nan, np.nan, np.nan
20, 13, 20, 0.02
20, 11, 20, 0.02
20, 10, 19, 0.02
20, 10, 18, 0.02
20, 6, 8, 0.01
20, 9, 11, 0.01
np.nan, np.nan, np.nan, np.nan
20, 9, 16, 0.02
20, 10, 18, 0.02
20, 16, 50, 0.03
20, 12, 17, 0.01
20, 12, 27, 0.02
20, 14, 25, 0.02
20, 14, 39, 0.02
20, 13, 30, 0.02
20, 13, 21, 0.02
20, 16, 42, 0.03
21, 14, 26, 0.03
21, 10, 18, 0.03
21, 15, 24, 0.03
21, 8, 13, 0.02
21, 9, 16, 0.03
21, 5, 7, 0.02
21, 11, 23, 0.02
21, 8, 10, 0.02
21, 14, 25, 0.03
21, 9, 16, 0.02
21, 11, 19, 0.02
21, 14, 35, 0.03
21, 13, 33, 0.03
21, 17, 20, 0.02
21, 14, 272, 0.14
21, 11, 18, 0.02
21, 10, 16, 0.02
21, 15, 30, 0.03
21, 11, 284, 0.16
21, 13, 26, 0.03
22, 13, 24, 0.03
22, 6, 7, 0.02
22, 10, 12, 0.03
22, 13, 21, 0.02
22, 8, 14, 0.02
22, 10, 16, 0.03
22, 14, 26, 0.03
22, 13, 15, 0.03
22, 12, 21, 0.02
22, 12, 23, 0.03
22, 12, 27, 0.03
22, 13, 29, 0.03
np.nan, np.nan, np.nan, np.nan
22, 9, 15, 0.02
np.nan, np.nan, np.nan, np.nan
22, 13, 30, 0.03
22, 11, 21, 0.03
22, 12, 21, 0.03
22, 9, 15, 0.03
22, 14, 27, 0.03
23, 15, 25, 0.03
23, 10, 17, 0.03
23, 16, 42, 0.04
23, 12, 30, 0.03
23, 12, 15, 0.03
23, 9, 19, 0.04
23, 12, 21, 0.03
23, 18, 36, 0.03
23, 12, 25, 0.03
23, 10, 27, 0.03
23, 11, 20, 0.03
23, 16, 31, 0.04
23, 13, 17, 0.04
23, 13, 28, 0.03
23, 8, 10, 0.03
23, 10, 22, 0.04
23, 12, 27, 0.04
23, 12, 25, 0.03
23, 10, 17, 0.03
23, 11, 19, 0.03
24, 12, 29, 0.03
24, 10, 17, 0.03
24, 13, 42, 0.04
24, 11, 20, 0.04
24, 12, 16, 0.03
24, 10, 22, 0.03
24, 16, 53, 0.05
24, 11, 25, 0.04
24, 12, 22, 0.04
24, 9, 15, 0.04
24, 13, 27, 0.04
24, 12, 23, 0.04
24, 15, 32, 0.05
24, 15, 33, 0.04
np.nan, np.nan, np.nan, np.nan
24, 13, 28, 0.04
24, 14, 40, 0.05
24, 13, 21, 0.03
24, 12, 27, 0.03
24, 11, 24, 0.03
