Problem Size, Plan Length, Total Time
10, 12, 24, 0.0068323612213134766
10, 12, 25, 0.006417512893676758
10, 11, 24, 0.005505800247192383
10, 16, 32, 0.00941777229309082
10, 11, 24, 0.006036996841430664
10, 12, 26, 0.0073566436767578125
10, 17, 34, 0.009217500686645508
10, 16, 34, 0.00983119010925293
10, 2, 4, 0.0008645057678222656
10, 14, 29, 0.006822109222412109
10, 15, 30, 0.007227182388305664
10, 13, 25, 0.00660395622253418
10, 16, 33, 0.0069200992584228516
10, 14, 28, 0.0064961910247802734
10, 12, 25, 0.005728244781494141
10, 10, 21, 0.004258155822753906
10, 11, 24, 0.005280017852783203
10, 5, 10, 0.002342700958251953
10, 14, 29, 0.007172346115112305
10, 14, 30, 0.007509946823120117
11, 7, 14, 0.0035102367401123047
11, 14, 30, 0.0066988468170166016
11, 15, 30, 0.0074574947357177734
11, 14, 29, 0.0066013336181640625
11, 11, 24, 0.0058612823486328125
11, 14, 30, 0.007642984390258789
11, 11, 24, 0.006392478942871094
11, 12, 25, 0.005999088287353516
11, 6, 12, 0.003052234649658203
11, 8, 16, 0.004060029983520508
11, 15, 31, 0.006991863250732422
11, 13, 26, 0.0056383609771728516
11, 16, 31, 0.007886171340942383
11, 9, 19, 0.004698514938354492
11, 8, 16, 0.003988742828369141
11, 12, 26, 0.005403995513916016
11, 8, 16, 0.00406646728515625
11, 13, 27, 0.0070171356201171875
11, 6, 13, 0.003149271011352539
11, 8, 16, 0.00462031364440918
12, 11, 23, 0.005876779556274414
12, 15, 32, 0.007953882217407227
12, 13, 28, 0.006868124008178711
12, 12, 25, 0.00964045524597168
12, 13, 28, 0.00746607780456543
12, 12, 26, 0.00701141357421875
12, 10, 21, 0.0056188106536865234
12, 13, 26, 0.007260799407958984
12, 12, 23, 0.006634950637817383
12, 16, 32, 0.008422136306762695
12, 14, 30, 0.008346319198608398
12, 15, 30, 0.007676124572753906
12, 15, 31, 0.008491277694702148
12, 12, 25, 0.006663799285888672
12, 10, 20, 0.005646705627441406
12, 2, 4, 0.0011119842529296875
12, 13, 26, 0.006211042404174805
12, 18, 37, 0.010210275650024414
12, 12, 25, 0.007017612457275391
12, 9, 20, 0.005205869674682617
13, 14, 30, 0.008291006088256836
13, 10, 21, 0.0057871341705322266
13, 11, 24, 0.0064008235931396484
13, 12, 24, 0.007019519805908203
13, 4, 8, 0.002282381057739258
13, 10, 22, 0.006120920181274414
13, 9, 18, 0.00520777702331543
13, 12, 24, 0.0074312686920166016
13, 15, 30, 0.008929014205932617
13, 18, 36, 0.01099848747253418
13, 18, 36, 0.010794878005981445
13, 14, 28, 0.008277654647827148
13, 16, 33, 0.009447336196899414
13, 13, 27, 0.007989168167114258
13, 9, 18, 0.0049746036529541016
13, 9, 20, 0.005285739898681641
13, 15, 30, 0.008193016052246094
13, 7, 14, 0.003916263580322266
13, 9, 19, 0.0056035518646240234
13, 11, 23, 0.00595402717590332
14, 10, 20, 0.0069675445556640625
14, 12, 25, 0.007918357849121094
14, 13, 26, 0.007670402526855469
14, 9, 19, 0.006272315979003906
14, 16, 33, 0.010483741760253906
14, 3, 6, 0.0019702911376953125
14, 15, 29, 0.009175300598144531
14, 11, 23, 0.007061958312988281
14, 6, 12, 0.004088640213012695
14, 12, 26, 0.007466793060302734
14, 11, 22, 0.007755279541015625
14, 14, 30, 0.008615255355834961
14, 14, 28, 0.009711742401123047
14, 14, 29, 0.00937795639038086
14, 14, 29, 0.00857996940612793
14, 11, 23, 0.0074193477630615234
14, 10, 22, 0.006498098373413086
14, 14, 29, 0.008971214294433594
14, 7, 15, 0.0046083927154541016
14, 13, 27, 0.007574796676635742
15, 8, 16, 0.005170345306396484
15, 14, 28, 0.008885860443115234
15, 10, 20, 0.006590843200683594
15, 12, 25, 0.009048223495483398
15, 9, 19, 0.006059885025024414
15, 13, 26, 0.008963823318481445
15, 11, 24, 0.008134126663208008
15, 16, 32, 0.012200355529785156
15, 12, 24, 0.00930476188659668
15, 15, 30, 0.010496377944946289
15, 10, 22, 0.007102251052856445
15, 13, 27, 0.009404659271240234
15, 13, 27, 0.009031057357788086
15, 7, 14, 0.0048525333404541016
15, 11, 24, 0.007523059844970703
15, 11, 23, 0.007372140884399414
15, 15, 29, 0.0096588134765625
15, 15, 31, 0.011503934860229492
15, 12, 25, 0.009028911590576172
15, 17, 34, 0.012425899505615234
16, 9, 19, 0.006904125213623047
16, 15, 31, 0.014634370803833008
16, 11, 22, 0.0077054500579833984
16, 15, 30, 0.011542320251464844
16, 12, 26, 0.008433818817138672
nan, nan, nan, nan
16, 11, 23, 0.008987188339233398
16, 15, 32, 0.010827302932739258
16, 12, 26, 0.00922393798828125
16, 12, 25, 0.008998394012451172
16, 12, 25, 0.00818777084350586
16, 10, 21, 0.00773930549621582
16, 14, 30, 0.009752273559570312
16, 8, 16, 0.005887746810913086
16, 15, 30, 0.01128244400024414
16, 11, 22, 0.007736921310424805
16, 18, 38, 0.01352691650390625
16, 14, 29, 0.011476516723632812
16, 14, 28, 0.010631322860717773
16, 5, 10, 0.003378629684448242
17, 7, 14, 0.005257606506347656
17, 14, 29, 0.010692834854125977
17, 15, 31, 0.011030912399291992
17, 11, 23, 0.009234905242919922
17, 15, 31, 0.011739492416381836
17, 11, 22, 0.009044647216796875
17, 14, 29, 0.011397361755371094
17, 15, 30, 0.013116836547851562
17, 9, 20, 0.008034229278564453
17, 15, 30, 0.011855125427246094
17, 15, 31, 0.012037515640258789
17, 12, 25, 0.010668754577636719
17, 10, 20, 0.007696390151977539
17, 10, 21, 0.008722782135009766
17, 8, 16, 0.006939888000488281
17, 18, 35, 0.013885021209716797
17, 10, 22, 0.007288932800292969
17, 9, 19, 0.007585048675537109
17, 12, 24, 0.009119272232055664
17, 13, 28, 0.010734081268310547
18, 12, 26, 0.010457038879394531
18, 12, 26, 0.01066446304321289
18, 15, 29, 0.01216435432434082
18, 16, 31, 0.012537240982055664
18, 11, 24, 0.009617328643798828
18, 12, 24, 0.010390758514404297
18, 13, 26, 0.010951995849609375
18, 8, 16, 0.0066890716552734375
18, 6, 12, 0.005189418792724609
18, 11, 22, 0.0090179443359375
18, 12, 25, 0.010519266128540039
18, 15, 31, 0.013020038604736328
18, 12, 24, 0.010169267654418945
18, 11, 22, 0.009220123291015625
18, 14, 30, 0.013974666595458984
18, 13, 26, 0.010502815246582031
18, 15, 30, 0.012554168701171875
18, 4, 8, 0.0035467147827148438
18, 12, 24, 0.011043548583984375
18, 9, 18, 0.007762908935546875
19, 14, 28, 0.015047550201416016
19, 15, 31, 0.014852523803710938
19, 16, 32, 0.015186548233032227
19, 16, 33, 0.014361858367919922
19, 16, 32, 0.01526331901550293
19, 14, 29, 0.013079404830932617
19, 11, 23, 0.010462760925292969
19, 11, 23, 0.009888172149658203
19, 3, 6, 0.002519845962524414
19, 14, 30, 0.01327657699584961
19, 9, 19, 0.008638858795166016
19, 17, 34, 0.015424728393554688
19, 13, 26, 0.012285947799682617
19, 15, 31, 0.012862205505371094
19, 10, 20, 0.009308815002441406
19, 12, 25, 0.011312246322631836
19, 15, 30, 0.014021873474121094
19, 14, 30, 0.015526294708251953
19, 12, 26, 0.010191917419433594
19, 18, 36, 0.017217397689819336
20, 12, 24, 0.011888742446899414
20, 14, 29, 0.013322591781616211
20, 13, 27, 0.013690471649169922
20, 16, 33, 0.014374256134033203
20, 12, 25, 0.011549711227416992
20, 11, 24, 0.010922431945800781
20, 14, 28, 0.012535333633422852
20, 14, 28, 0.014044523239135742
20, 6, 12, 0.005706071853637695
20, 9, 19, 0.008942604064941406
20, 13, 27, 0.011917829513549805
20, 18, 35, 0.01715254783630371
20, 13, 26, 0.012928009033203125
20, 14, 28, 0.0126495361328125
20, 16, 32, 0.015946388244628906
20, 15, 30, 0.013953447341918945
20, 15, 31, 0.014913082122802734
20, 11, 23, 0.011674880981445312
20, 16, 33, 0.014439821243286133
nan, nan, nan, nan
21, 12, 25, 0.011711359024047852
nan, nan, nan, nan
21, 11, 23, 0.012179374694824219
21, 13, 28, 0.013610124588012695
21, 8, 16, 0.008337259292602539
21, 11, 23, 0.011265754699707031
21, 5, 10, 0.005195140838623047
21, 13, 27, 0.014215469360351562
21, 7, 15, 0.007651567459106445
21, 16, 32, 0.01775670051574707
